일시,구분,미세먼지(PM10),초미세먼지(PM2.5)
2015-01-01 00:00:00,강남구,46.0,16.0
2015-01-01 00:00:00,강동구,43.0,10.0
2015-01-01 00:00:00,강북구,29.0,5.0
2015-01-01 00:00:00,강서구,48.0,8.0
2015-01-01 00:00:00,관악구,49.0,12.0
2015-01-01 00:00:00,광진구,44.0,7.0
2015-01-01 00:00:00,구로구,91.0,13.0
2015-01-01 00:00:00,금천구,43.0,14.0
2015-01-01 00:00:00,노원구,34.0,8.0
2015-01-01 00:00:00,도봉구,48.0,10.0
2015-01-01 00:00:00,동대문구,40.0,4.0
2015-01-01 00:00:00,동작구,48.0,8.0
2015-01-01 00:00:00,마포구,42.0,9.0
2015-01-01 00:00:00,서대문구,52.0,10.0
2015-01-01 00:00:00,서초구,71.0,16.0
2015-01-01 00:00:00,성동구,47.0,19.0
2015-01-01 00:00:00,성북구,34.0,9.0
2015-01-01 00:00:00,송파구,39.0,14.0
2015-01-01 00:00:00,양천구,45.0,8.0
2015-01-01 00:00:00,영등포구,44.0,13.0
2015-01-01 00:00:00,용산구,41.0,11.0
2015-01-01 00:00:00,은평구,47.0,15.0
2015-01-01 00:00:00,종로구,51.0,3.0
2015-01-01 00:00:00,중구,46.0,9.0
2015-01-01 00:00:00,중랑구,44.0,12.0
2015-01-01 00:00:00,평균,47.0,11.0
2015-01-01 01:00:00,강남구,42.0,24.0
2015-01-01 01:00:00,강동구,38.0,6.0
2015-01-01 01:00:00,강북구,34.0,2.0
2015-01-01 01:00:00,강서구,46.0,12.0
2015-01-01 01:00:00,관악구,50.0,11.0
2015-01-01 01:00:00,광진구,47.0,6.0
2015-01-01 01:00:00,구로구,56.0,13.0
2015-01-01 01:00:00,금천구,53.0,10.0
2015-01-01 01:00:00,노원구,55.0,6.0
2015-01-01 01:00:00,도봉구,48.0,8.0
2015-01-01 01:00:00,동대문구,37.0,5.0
2015-01-01 01:00:00,동작구,40.0,6.0
2015-01-01 01:00:00,마포구,44.0,10.0
2015-01-01 01:00:00,서대문구,50.0,14.0
2015-01-01 01:00:00,서초구,56.0,13.0
2015-01-01 01:00:00,성동구,50.0,16.0
2015-01-01 01:00:00,성북구,36.0,12.0
2015-01-01 01:00:00,송파구,31.0,11.0
2015-01-01 01:00:00,양천구,46.0,9.0
2015-01-01 01:00:00,영등포구,44.0,12.0
2015-01-01 01:00:00,용산구,43.0,11.0
2015-01-01 01:00:00,은평구,53.0,12.0
2015-01-01 01:00:00,종로구,57.0,
2015-01-01 01:00:00,중구,44.0,7.0
2015-01-01 01:00:00,중랑구,50.0,11.0
2015-01-01 01:00:00,평균,46.0,10.0
2015-01-01 02:00:00,강남구,54.0,12.0
2015-01-01 02:00:00,강동구,46.0,8.0
2015-01-01 02:00:00,강북구,51.0,3.0
2015-01-01 02:00:00,강서구,49.0,10.0
2015-01-01 02:00:00,관악구,62.0,12.0
2015-01-01 02:00:00,광진구,59.0,6.0
2015-01-01 02:00:00,구로구,69.0,13.0
2015-01-01 02:00:00,금천구,56.0,8.0
2015-01-01 02:00:00,노원구,59.0,7.0
2015-01-01 02:00:00,도봉구,66.0,5.0
2015-01-01 02:00:00,동대문구,53.0,3.0
2015-01-01 02:00:00,동작구,63.0,7.0
2015-01-01 02:00:00,마포구,59.0,12.0
2015-01-01 02:00:00,서대문구,61.0,8.0
2015-01-01 02:00:00,서초구,71.0,16.0
2015-01-01 02:00:00,성동구,59.0,19.0
2015-01-01 02:00:00,성북구,49.0,11.0
2015-01-01 02:00:00,송파구,61.0,15.0
2015-01-01 02:00:00,양천구,54.0,13.0
2015-01-01 02:00:00,영등포구,61.0,10.0
2015-01-01 02:00:00,용산구,59.0,13.0
2015-01-01 02:00:00,은평구,62.0,14.0
2015-01-01 02:00:00,종로구,70.0,3.0
2015-01-01 02:00:00,중구,57.0,10.0
2015-01-01 02:00:00,중랑구,57.0,12.0
2015-01-01 02:00:00,평균,59.0,10.0
2015-01-01 03:00:00,강남구,73.0,19.0
2015-01-01 03:00:00,강동구,64.0,8.0
2015-01-01 03:00:00,강북구,68.0,5.0
2015-01-01 03:00:00,강서구,72.0,17.0
2015-01-01 03:00:00,관악구,77.0,12.0
2015-01-01 03:00:00,광진구,85.0,6.0
2015-01-01 03:00:00,구로구,80.0,18.0
2015-01-01 03:00:00,금천구,70.0,10.0
2015-01-01 03:00:00,노원구,85.0,8.0
2015-01-01 03:00:00,도봉구,87.0,12.0
2015-01-01 03:00:00,동대문구,74.0,6.0
2015-01-01 03:00:00,동작구,90.0,7.0
2015-01-01 03:00:00,마포구,79.0,15.0
2015-01-01 03:00:00,서대문구,80.0,9.0
2015-01-01 03:00:00,서초구,91.0,17.0
2015-01-01 03:00:00,성동구,81.0,22.0
2015-01-01 03:00:00,성북구,65.0,15.0
2015-01-01 03:00:00,송파구,79.0,19.0
2015-01-01 03:00:00,양천구,69.0,10.0
2015-01-01 03:00:00,영등포구,70.0,10.0
2015-01-01 03:00:00,용산구,70.0,15.0
2015-01-01 03:00:00,은평구,84.0,17.0
